"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1","4/7/13","28","Male","Unknown race","Gunshot","Allegedly Armed","Westfield","MA","01085",42.133642,-72.75029
"2","4/5/16","52","Male","White","Gunshot","Allegedly Armed","West Springfield","MA","01089",42.112793,-72.64066
"3","8/11/13","23","Male","Black","Gunshot","Allegedly Armed","Springfield","MA","01103",42.103294,-72.59112
"4","6/26/14","34","Male","White","Gunshot","Allegedly Armed","Springfield","MA","01108",42.084094,-72.55523
"5","5/15/13","44","Male","Black","Gunshot","Allegedly Armed","Springfield","MA","01109",42.116277,-72.55031
"6","7/3/13","23","Male","White","Gunshot","Allegedly Armed","Orange","MA","01364",42.599614,-72.29263
"7","5/22/16","35","Male","Hispanic","Gunshot","Allegedly Armed","Rochdale","MA","01542",42.194793,-71.90651
"8","3/27/15","40","Male","White","Gunshot","Allegedly Armed","Webster","MA","01570",42.047728,-71.86108
"9","7/30/15","38","Male","Hispanic","Taser","Unarmed","Worcester","MA","01610",42.248493,-71.80793
"10","7/2/13","27","Male","White","Gunshot","Allegedly Armed","Ashland","MA","01721",42.257956,-71.45886
"11","8/23/14","26","Male","Black","Vehicle","Unarmed","Methuen","MA","01844",42.73004,-71.17935
"12","3/26/16","39","Male","Hispanic","Gunshot","Allegedly Armed","Lowell","MA","01851",42.630915,-71.33238
"13","2/17/15","30","Male","White","Gunshot","Allegedly Armed","Tewksbury","MA","01876",42.601684,-71.22071
"14","7/13/15","23","Male","Hispanic","Gunshot","Vehicle","Lynn","MA","01902",42.469946,-70.94113
"15","1/29/16","33","Male","Black","Gunshot","Allegedly Armed","Lynn","MA","01904",42.490421,-70.96579
"16","9/5/13","30","Male","Black","Gunshot","Unclear","Lynn","MA","01905",42.464879,-70.97411
"17","10/10/15","49","Male","White","Gunshot","Vehicle","Beverly","MA","01915",42.560995,-70.8757
"18","8/23/13","37","Male","Unknown race","Gunshot","Allegedly Armed","Danvers","MA","01923",42.569756,-70.94322
"19","5/15/14","29","Male","White","Gunshot","Allegedly Armed","Salisbury","MA","01952",42.85048,-70.86153
"20","4/5/14","38","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02118",42.338724,-71.07276
"21","3/27/15","41","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02121",42.307448,-71.08127
"22","2/12/16","29","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02121",42.307448,-71.08127
"23","12/7/13","20","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02124",42.28713,-71.07156
"24","8/7/13","21","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02124",42.28713,-71.07156
"25","6/2/13","38","Male","Hispanic","Gunshot","Allegedly Armed","Boston","MA","02124",42.28713,-71.07156
"26","10/12/16","33","Male","Black","Gunshot","Allegedly Armed","Boston","MA","02128",42.378297,-71.0255
"27","6/2/15","26","Male","Black","Gunshot","Allegedly Armed","Roslindale","MA","02131",42.284678,-71.13052
"28","5/29/13","48","Male","Unknown race","Medical Emergency","Allegedly Armed","Brighton","MA","02135",42.348418,-71.15349
"29","4/21/16","48","Male","Hispanic","Gunshot","Allegedly Armed","Everett","MA","02149",42.409916,-71.0522
"30","6/26/14","56","Male","White","Taser","Unclear","Chelsea","MA","02150",42.396382,-71.03352
"31","3/24/16","44","Male","White","Gunshot","Allegedly Armed","Braintree","MA","02184",42.209555,-70.99968
"32","1/19/15","49","Male","White","Gunshot","Allegedly Armed","Weymouth","MA","02191",42.242749,-70.94434
"33","6/19/15","45","Male","Hispanic","Gunshot","Allegedly Armed","Boston","MA","02215",42.346997,-71.10215
"34","7/2/15","45","Male","White","Gunshot","Unarmed","Brockton","MA","02302",42.08715,-71.00222
"35","1/7/16","29","Male","Black","Physical restraint","Unarmed","Bridgewater","MA","02324",41.979501,-70.97215
"36","9/23/13","47","Male","White","Gunshot","Allegedly Armed","East Bridgewater","MA","02333",42.029083,-70.95227
"37","9/22/13","23","Female","White","Vehicle","Unarmed","Plymouth","MA","02360",41.894676,-70.61999
"38","9/22/13","64","Female","White","Vehicle","Unarmed","Plymouth","MA","02360",41.894676,-70.61999
"39","6/14/13","41","Male","White","Gunshot","Allegedly Armed","Randolph","MA","02368",42.173417,-71.04912
"40","4/18/13","26","Male","White","Gunshot","Allegedly Armed","Watertown","MA","02472",42.371296,-71.18196
"41","1/1/15","22","Male","White","Vehicle","Unarmed","Chatham","MA","02633",41.686534,-69.97746
"42","5/16/16","48","Male","White","Taser","Unarmed","Fall River","MA","02724",41.684152,-71.17436
