"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"1","28","Male","Black","10/18/2016","E Empire Ave and Pavone St","Benton Harbor","MI",49022,"Gunshot","Pending investigation","Allegedly Armed"
"2","66","Female","Black","10/18/2016","Pugsley Avenue","New York","NY",49022,"Gunshot","Pending investigation","Allegedly Armed"
"3","33","Male","Black","10/12/2016","136 Gladstone St","Boston","MA",2128,"Gunshot","Pending investigation","Allegedly Armed"
"4","41","Male","Black","10/9/2016","600 Walnut Ave","Syracuse","NY",13210,"Gunshot","Pending investigation","Allegedly Armed"
"5","36","Male","Black","10/2/2016","16300 Dixie Hwy","Markham","IL",60428,"Gunshot","Pending investigation","Allegedly Armed"
"6","18","Male","Black","10/1/2016","W 107th St","Los Angeles","CA",90044,"Gunshot","Pending investigation","Unclear"
"7","28","Male","White","10/1/2016","6th Ave N","Hometown","WV",25109,"Gunshot","Pending investigation","Allegedly Armed"
"8","20","Male","Black","9/30/2016","1300 Knollwood Dr E","Columbus","OH",43232,"Gunshot","Pending investigation","Allegedly Armed"
"9","32","Male","Black","9/30/2016","Links Dr","Campobello","SC",29322,"Gunshot","Pending investigation","Allegedly Armed"
"10","37","Male","White","9/30/2016","Haggerty Rd","Belleville","MI",48111,"Gunshot","Pending investigation","Allegedly Armed"
"11","37","Male","White","9/30/2016","Haggerty Rode","Belleville","MI",48111,"Gunshot","Pending investigation","Allegedly Armed"
"12","18","Male","Black","9/30/2016","500 N 7th St","Newark","NJ",7107,"Gunshot","Pending investigation","Unclear"
"13","18","Male","Black","9/30/2016","500 N 7th St","Newark","NJ",7107,"Gunshot","Pending investigation","Unclear"
"14","38","Male","White","9/30/2016","400 W 2nd St","Groveton","TX",75845,"Gunshot","Pending investigation","Unclear"
"15","53","Male","White","9/29/2016","1700 Miami Ave","Kingman","AZ",86401,"Gunshot","Pending investigation","Allegedly Armed"
"16","32","Male","Black","9/28/2016","Cobbs Creek Pkwy and Webster St","Philadelphia","PA",19143,"Gunshot","Pending investigation","Unclear"
"17","Unknown","Male","Hispanic","9/28/2016","1600 Fresno St","Valdosta","GA",31602,"Gunshot","Pending investigation","Allegedly Armed"
"18","30","Male","Black","9/27/2016","701 Broadway","El Cajon","CA",92021,"Gunshot","Pending investigation","Unarmed"
"19","48","Male","White","9/26/2016","1600 Cliff Rd E","Burnsville","MN",55337,"Gunshot","Pending investigation","Allegedly Armed"
"20","52","Male","White","9/26/2016","301 E 50th St","Garden City","ID",83714,"Gunshot","Pending investigation","Allegedly Armed"
"21","46","Male","Asian","9/26/2016","4400 Law St","Houston","TX",77005,"Gunshot","Pending investigation","Allegedly Armed"
