State,City,PD,All People Killed by Police (2013-2015),Black People Killed by Police (2013-2015),Total Population ,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two ormore races",Hispanic,Population,"Violentcrime","Murder andnonnegligent manslaughter",Violent Crime Rate,Murder Rate,Total Police Homicide Rate,Total Police Homicide Rate for Black People,Average Yearly Police Homicide Rate for Black People,Average Yearly Police Homicide Rate for Black Men (per 100k),Black-White Dissimilarity (2010)
New Mexico,Albuquerque,Albuquerque Police Department,15,3,545852,14878,229933,20627,13674,418,14092,1224,10043,255055,558874,4934,30,8.828465808,5.367936243,27.47997626,201.6400054,67.21333513,,
California,Anaheim,Anaheim Police Department,8,2,336265,8209,92362,743,49210,1437,50647,628,6209,177467,346956,1101,14,3.173313043,4.035093787,23.79076026,243.6350347,81.21167824,,
Alaska,Anchorage,Anchorage Police Department,6,0,291826,15308,182814,22047,23208,5776,28984,562,20050,22061,301306,2605,12,8.645695738,3.982662144,20.56019683,0,0,,
Texas,Arlington,Arlington Police Department,5,3,365438,67087,164022,1338,24564,373,24937,597,7188,100269,382976,1854,13,4.841034425,3.394468583,13.68221148,44.71805268,14.90601756,,
Georgia,Atlanta,Atlanta Police Department,7,5,420003,224316,152377,754,13098,115,13213,739,6789,21815,454363,5577,93,12.27432691,20.46821594,16.66654762,22.28998377,7.429994591,,
Colorado,Aurora,Aurora Police Department,11,3,325078,49003,153715,1487,15735,919,16654,677,10279,93263,350948,1448,11,4.12596738,3.134367485,33.83803272,61.22074159,20.40691386,,
Texas,Austin,Austin Police Department,17,2,790390,60760,385271,1967,49159,401,49560,1448,13677,277707,903924,3581,32,3.961616242,3.54012063,21.50836929,32.91639236,10.97213079,,
California,Bakersfield,Bakersfield Police Department,16,1,347483,26677,131311,2265,20496,357,20853,681,7491,158205,367406,1678,17,4.567154592,4.627033854,46.04541805,37.48547438,12.49515813,,
Maryland,Baltimore,Baltimore Police Department,26,22,620961,392938,174120,1884,14397,192,14589,942,10528,25960,623513,8346,211,13.38544665,33.84051335,41.87058447,55.98847655,18.66282552,,
Louisiana,Baton Rouge,Baton Rouge Police Department,5,5,229493,124542,86679,397,7469,39,7508,332,2382,7653,229387,2120,53,9.242023306,23.10505826,21.78715691,40.14709897,13.38236632,,
Alabama,Birmingham,Birmingham Police Department,5,4,212237,155258,44819,361,2132,48,2180,150,1765,7704,212115,3369,52,15.88289371,24.51500365,23.55856896,25.76356774,8.587855913,,
